FrameNumber, xAcc, yAcc, zAcc, xGyro, yGyro, zGyro
0, -0.870361, -0.019775, -0.511719, -2.029419, -1.556396, 0.930786, 0.000000
0, -0.871582, -0.021484, -0.511719, -1.770020, -1.647949, 0.793457, 0.000000
0, -0.873291, -0.020752, -0.508545, -1.647949, -1.846313, 0.839233, 0.000000
0, -0.866699, -0.018799, -0.506836, -1.495361, -1.846313, 0.823975, 0.000000
0, -0.866943, -0.020508, -0.501221, -1.266479, -1.617432, 0.762939, 0.000000
0, -0.866699, -0.015869, -0.499023, -1.190186, -1.663208, 0.808716, 0.000000
0, -0.867188, -0.017822, -0.493408, -1.144409, -1.586914, 0.778198, 0.000000
0, -0.859131, -0.014648, -0.483887, -1.113892, -1.434326, 0.839233, 0.000000
0, -0.871338, -0.010498, -0.486328, -1.068115, -1.052856, 0.610352, 0.000000
0, -0.868408, -0.013184, -0.491943, -1.159668, -0.823975, 0.350952, 0.000000
0, -0.869141, -0.019287, -0.493896, -0.976563, -0.778198, 0.228882, 0.000000
0, -0.871338, -0.025879, -0.499756, -1.098633, -0.656128, 0.411987, 0.000000
0, -0.871094, -0.029541, -0.501709, -1.220703, -0.579834, 0.381470, 0.000000
0, -0.873535, -0.033936, -0.501465, -1.037598, -0.549316, 0.320435, 0.000000
0, -0.868896, -0.036621, -0.501953, -0.686646, -0.747681, 0.564575, 0.000000
0, -0.866211, -0.037842, -0.506592, -0.366211, -0.640869, 0.732422, 0.000000
1, -0.861816, -0.040039, -0.507324, 0.167847, -0.579834, 0.732422, 0.000000
1, -0.861084, -0.041260, -0.509766, 0.640869, -0.564575, 0.885010, 0.000000
1, -0.859375, -0.037109, -0.512451, 0.976563, -0.610352, 1.052856, 0.000000
1, -0.863770, -0.040283, -0.510742, 1.022339, -0.732422, 1.052856, 0.000000
1, -0.861328, -0.045166, -0.511719, 1.129150, -0.564575, 1.327515, 0.000000
1, -0.868652, -0.038330, -0.510254, 1.159668, -0.869751, 1.571655, 0.000000
1, -0.865479, -0.037842, -0.506104, 1.190186, -1.068115, 1.647949, 0.000000
1, -0.864258, -0.036621, -0.507568, 1.037598, -1.037598, 1.937866, 0.000000
1, -0.867188, -0.037842, -0.502197, 1.007080, -1.129150, 1.998901, 0.000000
1, -0.862549, -0.037354, -0.498047, 1.052856, -1.068115, 2.136230, 0.000000
1, -0.863281, -0.032715, -0.498535, 1.083374, -0.961304, 2.258301, 0.000000
1, -0.864258, -0.032715, -0.488770, 0.900269, -1.174927, 2.334595, 0.000000
1, -0.862793, -0.031250, -0.493652, 0.839233, -1.220703, 2.410889, 0.000000
1, -0.861816, -0.029297, -0.486328, 0.869751, -1.113892, 2.502441, 0.000000
1, -0.856934, -0.026611, -0.480225, 0.823975, -1.144409, 2.655029, 0.000000
1, -0.858643, -0.024414, -0.473389, 0.930786, -0.823975, 2.777100, 0.000000
1, -0.864258, -0.022461, -0.482666, 0.747681, -0.625610, 2.853394, 0.000000
2, -0.862793, -0.014648, -0.479980, 0.625610, -0.457764, 2.868652, 0.000000
2, -0.864990, -0.011475, -0.475098, 0.244141, -0.183105, 2.822876, 0.000000
2, -0.864258, -0.005127, -0.474854, 0.076294, -0.122070, 2.929688, 0.000000
2, -0.863525, -0.007324, -0.477295, -0.061035, 0.244141, 2.944946, 0.000000
2, -0.866943, -0.005859, -0.475098, -0.259399, 0.473022, 2.761841, 0.000000
2, -0.869385, -0.003418, -0.477539, -0.396729, 0.320435, 2.593994, 0.000000
2, -0.864258, -0.000488, -0.475830, -0.381470, 0.671387, 2.426147, 0.000000
2, -0.866699, -0.002686, -0.475830, -0.427246, 1.037598, 2.227783, 0.000000
2, -0.864258, -0.006104, -0.487305, -0.411987, 1.190186, 2.227783, 0.000000
2, -0.868652, -0.000732, -0.489258, -0.381470, 1.296997, 2.212524, 0.000000
2, -0.869629, -0.001709, -0.492188, -0.488281, 1.342773, 1.861572, 0.000000
2, -0.866211, -0.000244, -0.492920, -0.549316, 1.419067, 1.617432, 0.000000
2, -0.870850, -0.009277, -0.496338, -0.396729, 1.663208, 1.556396, 0.000000
2, -0.872803, -0.004639, -0.501953, -0.381470, 1.846313, 1.495361, 0.000000
2, -0.867676, -0.006836, -0.504639, -0.122070, 1.754761, 1.373291, 0.000000
2, -0.874756, -0.004395, -0.512207, 0.045776, 1.724243, 1.190186, 0.000000
2, -0.871582, -0.004395, -0.512207, -0.045776, 1.602173, 0.900269, 0.000000
3, -0.876465, -0.006592, -0.517578, -0.137329, 1.586914, 0.656128, 0.000000
3, -0.873535, -0.005859, -0.516602, -0.137329, 1.556396, 0.564575, 0.000000
3, -0.875732, -0.003418, -0.513184, -0.320435, 1.159668, 0.579834, 0.000000
3, -0.873047, -0.011719, -0.522949, -0.656128, 1.007080, 0.289917, 0.000000
3, -0.869629, -0.010010, -0.518555, -0.396729, 0.961304, 0.213623, 0.000000
3, -0.876465, -0.010742, -0.528564, -0.289917, 0.946045, 0.244141, 0.000000
3, -0.875488, -0.015137, -0.520508, -0.473022, 0.686646, 0.228882, 0.000000
3, -0.872070, -0.020508, -0.524414, -0.595093, 0.549316, 0.244141, 0.000000
3, -0.873779, -0.018066, -0.523193, -0.473022, 0.457764, 0.137329, 0.000000
3, -0.875244, -0.021973, -0.523438, -0.549316, 0.213623, 0.106812, 0.000000
3, -0.872803, -0.021240, -0.523193, -0.305176, 0.152588, 0.106812, 0.000000
3, -0.878662, -0.023193, -0.519287, -0.122070, 0.045776, 0.198364, 0.000000
3, -0.874756, -0.021240, -0.516602, -0.106812, -0.335693, 0.106812, 0.000000
3, -0.872559, -0.023193, -0.508301, -0.152588, -0.289917, 0.061035, 0.000000
